question,ground_truth,category,answer,retrieved_contexts,sources,faithfulness,answer_relevancy
How can a customer raise a grievance related to an HDFC Bank credit card?,"A cardholder can raise a credit card grievance through HDFC Bank call centres, by post, or by email. The policy lists call centres 1800 1600 and 1800 2600, international support at +91 22 61606160, and the email address customerservices.cards@hdfcbank.com.",Grievance,"A customer can raise a grievance related to an HDFC Bank credit card by contacting HDFC Bank Credit Cards through:

- Call centres: 1800 1600 / 1800 2600 (If you are not in India: +91 22 61606160)
- Email: customerservices.cards@hdfcbank.com
- Post: Manager, HDFC Bank Cards, HDFC Bank Cards Division, PO Box No 8654, Door No 94 SP, Estate Bus Stand, Wavin Main Road, Mogappair West, Chennai 600058
- Grievance Redressal Officer: Reach us on phone 04461084900 between 09.30 a.m. to 05.30 p.m. Monday to Friday.","['Corporate Commitment -> Citizens Charter -> Grievance Redressal Further details are covered under : \nhttps://www.hdfcbank.com/personal/pay/cards/creditcards/membership-kit • The Cardmember can contact HDFC Bank Credit Cards for making any enquiries or for \nany grievance redressal through: • Call centres: : 1800 1600 / 1800 2600 If you are not in India: +91 22 61606160 \n• Infinia / Infinia (Metal Edition) / Diners Black Metal Edition/ Diners Black customers:', '• Email: customerservices.cards@hdfcbank.com • Grievance Redressal Officer: Reach us on phone 04461084900 between 09.30 a.m. to \n05.30 p.m. Monday to Friday. The details of the Grievance Redressal Officer and  the \nmechanism and timelines of Grievance Redressal, is updated in the Grievance \nRedressal Policy. The Grievance Redressal Policy  is available on the website – \nwww.hdfcbank.com and the same can be accessed by following the path – Our', 'Please write to Mrs. Deepa Balakrishnan (Grievance Redressal Officer+91 22 61606160The \nCardmember can contact HDFC Bank Credit Cards for making any enquiries or for any \ngrievance redressal through • Call Centres: 1800 1600 / 1800 2600 If you are not in India: +91 22 61606160 \n• Post: Manager, HDFC Bank Cards, HDFC Bank Cards Division, PO Box No 8654, Door \nNo 94 SP, Estate Bus Stand, Wavin Main Road, Mogappair West, Chennai 600058 \n• Email: customerservices.cards@hdfcbank.com', 'to Friday In the event that the cardholder’s grievanceis not resolved through the primary touchpoints \nwithin the stipulated TAT defined as per nature of complaints, and all other information \nrequired by the Bank or cardholder is not satisfied with the resolution by the redressal officer, it \ncan be escalated and reported by the cardholder to the grievance redressal cell of the bank. \nCustomer Compensation Policy is displayed on the bank website under Our Corporate']",['hdfc_credit_card_policy.pdf'],0.8461538461538461,
What happens if HDFC Bank rejects a credit card application?,"If a credit card application is rejected, the bank must communicate the rejection along with the reason in writing through a physical letter or email.",Credit Card,I don't have enough information to answer your question. The provided context does not mention what happens if HDFC Bank rejects a credit card application.,"['transactions only on the basis of the information provided by the user. The Bank will not be responsible for any erroneous \ncredit, if an erroneous card number is provided by the customer. The bank will also not be responsible to reverse such a wrong transaction.\n13.15 HDFC Bank shall on best cases send the remittance within 24 hours of the transaction, however the Bank is not \nresponsible for the period within which the beneficiary bank will credit the proceeds to the beneficiary card.', '14.113  TERMS\n14.114 HDFC Bank reserves the right to issue either Visa Card/MasterCard/ Maestro Card to the customer.\n14.115 The cardholder shall be deemed to have unconditionally agreed to and accepted these terms and conditions by signing \nthe card application form, acknowledging the receipt of the card in writing, by signing the reverse of the card, by \nperforming a transaction with the card or by requesting of activation of the card to the Bank/Phone banking or after 10', 'Commitment > Citizens Charter > Customer Compensation Policy > Credit Cards \nFor any sales queries on mis-selling / harassment / complaints, please write to \nsalesqueriescards@hdfcbank.com or call at 18002583838 \nFor Credit Card services like Checking Your Reward Points/CashPoints, Converting Eligible Spends \nto EMI and Reporting Credit Card Disputes through SMS, please send an SMS to 7308080808. \nThere are no pre-defined keywords and you can type your own query to use this facility', 'also be considered as cardholder’s consent), the Bank would reverse the charges levied by the Bank for the \ncard variant immediately and also pay a penalty without demur to the customer amounting to twice the va lue \nof charges reversed in this regard. Operation of credit card account shall be in accordance with HDFC Bank \ncredit card terms and conditions. Transactions reported as erroneous by customers, which require specific']","['hdfc_general_terms_conditions.pdf', 'hdfc_credit_card_policy.pdf', 'hdfc_customer_compensation_policy.pdf']",0.0,
Is collateral required for a regular HDFC Bank credit card?,No collateral is required for regular credit cards. The policy also notes that an FD-based card can be issued with a lien marked against a fixed deposit.,Credit Card,No collateral is required for regular HDFC Bank credit cards.,"['as Classic, Premium & Co-Brand and Super Premium Cards. HDFC Bank also provides an option to their \ncustomers to choose from multiple card networks at the time of issue and renewal namely Visa, Rupay, \nMasterCard and Diners Club International. • All HDFC Bank Credit Cards issued are Contactless Cards which facilitate fast, convenient & \nsecure payments. HDFC Bank Credit Cards support Tokenization which is a replacement of the', '14.113  TERMS\n14.114 HDFC Bank reserves the right to issue either Visa Card/MasterCard/ Maestro Card to the customer.\n14.115 The cardholder shall be deemed to have unconditionally agreed to and accepted these terms and conditions by signing \nthe card application form, acknowledging the receipt of the card in writing, by signing the reverse of the card, by \nperforming a transaction with the card or by requesting of activation of the card to the Bank/Phone banking or after 10', 'holder or sole signatory or authorized to act alone when there is more than one signatory.\n14.3 Bank refers to HDFC Bank Limited, a banking company incorporated in India under the Companies Act 1956 and having its \nregistered office at Sandoz House, Dr. Annie Besant Road, Worli, Mumbai 400018, India and includes its successors and \nassigns.\n14.4 Card refers to the HDFC Bank International Debit Card.', 'Repayment Through any of the payment channels (E.g. Net banking, ATMs, \nCheque /cash deposit in branches, Standing instructions for \naccount holders with HDFC Bank). For credit cards issued to NRIs / \nPIOs, the repayment shall be as per the defi ned process for NRI \nsourcing and FEMA directions issued by RBI from time to time. Security / Collateral  No collateral required for regular Cards. There is a FD based card \nwhere the Credit card is issued with a lien marked against the Fixed']","['hdfc_credit_card_policy.pdf', 'hdfc_general_terms_conditions.pdf']",1.0,
What payment channels are available for repaying an HDFC Bank credit card?,"The policy says credit card repayment can be made through net banking, ATMs, cheque or cash deposit in branches, and standing instructions for HDFC Bank account holders.",Credit Card,"Repayment Through any of the payment channels (E.g. Net banking, ATMs, Cheque /cash deposit in branches, Standing instructions for account holders with HDFC Bank).","['as Classic, Premium & Co-Brand and Super Premium Cards. HDFC Bank also provides an option to their \ncustomers to choose from multiple card networks at the time of issue and renewal namely Visa, Rupay, \nMasterCard and Diners Club International. • All HDFC Bank Credit Cards issued are Contactless Cards which facilitate fast, convenient & \nsecure payments. HDFC Bank Credit Cards support Tokenization which is a replacement of the', 'Repayment Through any of the payment channels (E.g. Net banking, ATMs, \nCheque /cash deposit in branches, Standing instructions for \naccount holders with HDFC Bank). For credit cards issued to NRIs / \nPIOs, the repayment shall be as per the defi ned process for NRI \nsourcing and FEMA directions issued by RBI from time to time. Security / Collateral  No collateral required for regular Cards. There is a FD based card \nwhere the Credit card is issued with a lien marked against the Fixed', 'Commitment > Citizens Charter > Customer Compensation Policy > Credit Cards \nFor any sales queries on mis-selling / harassment / complaints, please write to \nsalesqueriescards@hdfcbank.com or call at 18002583838 \nFor Credit Card services like Checking Your Reward Points/CashPoints, Converting Eligible Spends \nto EMI and Reporting Credit Card Disputes through SMS, please send an SMS to 7308080808. \nThere are no pre-defined keywords and you can type your own query to use this facility', 'arising out of delayed payments.\n13.12 HDFC Bank may also make additions/ deletions to the services offered through any of its channels at its sole discretion. \nThe availability/ non-availability of a particular service shall be informed to the Account Holder through email, web site of \nthe bank or by written communication.\n13.13 The Customer is entirely responsible for providing the correct Card Number of the beneficiary. The Bank will process all']","['hdfc_credit_card_policy.pdf', 'hdfc_general_terms_conditions.pdf']",1.0,
How are HDFC Bank credit card statements and minimum payments handled?,"Credit card statements are generated according to the billing cycle, the due date is mentioned on the statement, and customers are expected to pay at least the minimum amount due or any higher amount up to the total amount due.",Credit Card,Credit card statements are generated as per the respective billing cycle with the due date of payment mentioned on the statement. Customers are expected to make the minimum amount due as per the statement or an amount higher than the minimum amount subject to total amount due as per the product construct.,"['arising out of delayed payments.\n13.12 HDFC Bank may also make additions/ deletions to the services offered through any of its channels at its sole discretion. \nThe availability/ non-availability of a particular service shall be informed to the Account Holder through email, web site of \nthe bank or by written communication.\n13.13 The Customer is entirely responsible for providing the correct Card Number of the beneficiary. The Bank will process all', 'Deposit held by the customer. The limit shall be as per the \napplicable norms decided by the Bank from time to time. Statements and Payments  Credit card statements are generated as per the respective billing \ncycle with the due date of payment mentioned on the statement. \nCustomers are expected to make the minimum amount due as per \nthe statement or an amount higher than the  minimum amount \nsubject to total amount due as per the product construct. The billing', '14.118 These TERMS form the contract between the Cardholder and the Bank. By applying for HDFC Bank Debit Card and \naccessing the service the Cardholder acknowledges and accepts these terms and conditions. These terms and \nconditions will be in addition to and not in derogation of the terms and conditions relating to any account of the \ncustomer.\nGOVERNING LAW\nThese terms and conditions and/or the operations in the accounts of the Customer maintained by the Bank and/or the use of the', 'also be considered as cardholder’s consent), the Bank would reverse the charges levied by the Bank for the \ncard variant immediately and also pay a penalty without demur to the customer amounting to twice the va lue \nof charges reversed in this regard. Operation of credit card account shall be in accordance with HDFC Bank \ncredit card terms and conditions. Transactions reported as erroneous by customers, which require specific']","['hdfc_general_terms_conditions.pdf', 'hdfc_credit_card_policy.pdf', 'hdfc_customer_compensation_policy.pdf']",1.0,
What is HDFC Bank's lost card liability policy for credit cards?,"The credit card policy says that if a card member reports the loss of the card to HDFC Bank within 48 hours, the liability for any subsequent transaction on that card is not on the cardholder.",Credit Card,"HDFC Bank card members are covered for lost card liability, i.e., once a card member reports loss of card to HDFC Bank within 48 hours, the liability for any subsequent transaction on that card is not considered as Unauthorised and the Cardholder will be solely responsible unless there is a specific offer by HDFC Bank to the customer.","['cardholder’s Primary Account Number (16digit card number)with an alternate number, referred \nto as a token. • All HDFC Bank credit card members can avail of up to 3 add -on cards where the limit on the \nprimary credit card is shared with the add-on card holders • HDFC Bank card members are covered for lost card liability i.e., once a card member reports loss \nof card to HDFC Bank within 48 hours, the liability for any subsequent transaction on that card is \nnot on the card holder', 'considered as Unauthorised and the Cardholder will be solely responsible unless there is a specific offer by HDFC Bank to \nthe customer. \n14.63 Quality of Goods and Services:  The Bank shall not be in any way responsible for merchandise, warranty or services \npurchased or availed of by Cardholder from Merchant Establishments including on account of delay and delivery, non-', 'a well-documented Board approved policy for the issuance and conduct of credit cards. The Board \napproved policy shall be available on the website of the card-issuer” In accordance with the RBI directions, the salient points of the board approved policy are being \ndisplayed in this document 1. Card Product Details HDFC Bank launches different variants in the market from time to time. The variants are broadly classified', 'Commitment > Citizens Charter > Customer Compensation Policy > Credit Cards \nFor any sales queries on mis-selling / harassment / complaints, please write to \nsalesqueriescards@hdfcbank.com or call at 18002583838 \nFor Credit Card services like Checking Your Reward Points/CashPoints, Converting Eligible Spends \nto EMI and Reporting Credit Card Disputes through SMS, please send an SMS to 7308080808. \nThere are no pre-defined keywords and you can type your own query to use this facility']","['hdfc_credit_card_policy.pdf', 'hdfc_general_terms_conditions.pdf']",1.0,
"What should a customer do if an ATM or debit card is misplaced, stolen, or lost?","The general terms say the customer should immediately report a misplaced, stolen, or lost ATM-usable card to the bank. For a lost or stolen card, the cardholder must also file a report with the local police and send a copy to the bank.",Terms & Conditions,"If an ATM or debit card is misplaced, stolen, or lost, the Cardholder must file a report with the local police and send a copy thereof to the Bank.","['14.40 The Cardholder shall take cognizance of the fact that once a Card is reported lost, stolen or damaged and is subsequently \nfound, the same shall be promptly cut in half, returned to the Bank and adequate care taken to prevent its misuse.\n14.41 The Cardholder is responsible for the security of the Card and shall take all steps towards ensuring the safe keeping there \nof. In the event Bank determines that the aforementioned steps are questionable, financial liability on the lost or stolen', 'sustain or incur either directly or indirectly as a result of :\n* Negligence / mistake or misconduct of the Cardholder\n* Breach or non-compliance of the rules/terms and conditions relating to the Card and the account.\n* Fraud or dishonesty relating to any transaction by the Cardholder or his employees / agents.\n14.110  ATMs / EDC terminals are machines and errors could occur while in operation. You agree to indemnify the Bank for any \nsuch machine / mechanical errors/failures.', 'conditions without prior notice.\n14.36.04 OTHER OFFERS\nFor any zero surcharge offer on usage of Debit Card at Petrol pumps, surcharge will be levied at the time of the \ntransaction, and subsequently reversed after the end of the month.\n14.37 LOST OR STOLEN CARDS\n14.38 If a Card is lost or stolen, the Cardholder must file a report with the local police and send a copy there after to the Bank. The', ""arrangement or the use of such services.\n14.44 ATM USAGE\n14.45 The Card is operable with the help of a confidential PIN at ATM locations. The Cardholder's PIN shall be mailed/couriered \nto him and the Cardholder shall ensure that the same is received in a sealed envelope. The PIN should never be disclosed \nto any person or written down where any other person may discover it.\nAny such disclosure or inadequate protection of the confidentiality of the PIN is entirely at the Cardholder's risk. All""]",['hdfc_general_terms_conditions.pdf'],1.0,
How does HDFC Bank handle an unauthorized or erroneous direct debit?,"If the bank raises an unauthorized or erroneous direct debit and is informed about it, the entry is reversed with the proper value date after due verification.",Customer Compensation,"According to the context, if an erroneous card number is provided by the customer, the bank will not be responsible for any erroneous credit. However, it does not specifically mention how HDFC Bank handles an unauthorized or erroneous direct debit. 

I don't have enough information to provide a detailed answer.","['13.16 HDFC Bank shall offer this service only for Savings Account customers. If the Bank finds that the service is being used for a \nCurrent Account, the Bank reserves the right to discontinue the service without any prior notice to the customer\n13.17 HDFC Bank reserves the right to not carry out the transaction at any time at its discretion.\nThe use of this service will mean that the customer has read, understood and accepted the Terms & Conditions.\n14. INTERNATIONAL DEBIT CARD', 'transactions only on the basis of the information provided by the user. The Bank will not be responsible for any erroneous \ncredit, if an erroneous card number is provided by the customer. The bank will also not be responsible to reverse such a wrong transaction.\n13.15 HDFC Bank shall on best cases send the remittance within 24 hours of the transaction, however the Bank is not \nresponsible for the period within which the beneficiary bank will credit the proceeds to the beneficiary card.', 'considered as Unauthorised and the Cardholder will be solely responsible unless there is a specific offer by HDFC Bank to \nthe customer. \n14.63 Quality of Goods and Services:  The Bank shall not be in any way responsible for merchandise, warranty or services \npurchased or availed of by Cardholder from Merchant Establishments including on account of delay and delivery, non-', 'Whistle Blower Policy – April 2025 \nPage 3 Classification - Public \nClassification - Public \n1. Preamble 1 . 1. HDFC Bank Limited (“Bank”) encourages an open and transparent system of working \nand dealings amongst the employees, customers and members of general public \ncoming into contact with the Bank by adopting the highest standards, integrity and \nethical behavior. The Bank has a detailed “Code of Conduct and Ethics Manual” that']","['hdfc_general_terms_conditions.pdf', 'hdfc_grievance_policy.pdf']",1.0,
What compensation applies if a credit card closure is delayed?,"The customer compensation policy says the credit card closure process should be completed within seven working days. If that does not happen, the customer is entitled to a penalty of Rs. 500 per day of delay until closure.",Customer Compensation,"If a credit card closure is delayed, the Bank will provide a penalty of ₹500 per day of delay payable to the customer, till the closure of the credit card.","['reference to a merchant establishment will be handled as per chargeback rules laid down by VISA / Mastercard \n/ Diners / Rupay network. The Bank will provide explanation and, if necessary, documentary evidence to the \ncustomer within a maximum period of sixty days. Failure on the part of the card-issuers to complete the process of closure within seven working days shall result \nin a penalty of ₹500 per day of delay payable to the customer, till the closure of the credit card provided there', 'title documents or obtain necessary direction from competent authority/court.  Till such time, the Bank shall not \nbe liable to release the title documents to the Borrowers/Guarantors (as the case may be) and shall not be liable \nto pay any compensation to any party. 12. Force Majeure: \nThe Bank shall not be liable to compensate customers for delayed credit if some unforeseen event (including', 'the delay is beyond T+1 day. Note - T is the day of transaction and refers to the calendar day. 15. Delay in resolution of disputes related to CIR (Credit Information Report) As per regulatory direction, complainants will be compensated if their disputes related to CIRs (Credit \nInformation Reports) are not addressed within 30 days by the bank and CICs (Credit Inf ormation Companies) \njointly.', 'notice thereof to the Cardholder or assigning any reason thereof) suspend, withdraw or cancel the benefit of such \ninsurance cover, and there will no binding obligation on the bank to continue this benefit.\n14.104 TERMINATION\n14.105 The Cardholder may discontinue this facility any time by a written notice to the Bank accompanied by the Return of the \nCard cut into two diagonally. In the event charges are incurred on the Card after the cardholder claims to have destroyed']","['hdfc_customer_compensation_policy.pdf', 'hdfc_general_terms_conditions.pdf']",1.0,
What happens if a customer's dispute related to a credit information report is not resolved on time?,The compensation policy says complainants will be compensated if disputes related to CIRs are not addressed within 30 days by the bank and the credit information companies jointly.,Customer Compensation,"As per the given context, if a customer's dispute related to a credit information report is not resolved on time, the complainants will be compensated if their disputes are not addressed within 30 days by the bank and CICs (Credit Information Companies) jointly.","['the delay is beyond T+1 day. Note - T is the day of transaction and refers to the calendar day. 15. Delay in resolution of disputes related to CIR (Credit Information Report) As per regulatory direction, complainants will be compensated if their disputes related to CIRs (Credit \nInformation Reports) are not addressed within 30 days by the bank and CICs (Credit Inf ormation Companies) \njointly.', ""respectively. The bank is not liable for any error in the statement and I shall always hold the bank \nharmless against any losses, damages etc. that may be incurred or suffered by me if the information \ncontained turns out to be inaccurate/incorrect.\n9.7 I agree that any disputes on bill details will be settled directly by me with the billing company and the bank's responsibility \nis limited to provision of information only."", 'months. In case the customer wants to dispute any transaction, the same should be informed to the bank within in 15 days \nfrom the date of the transaction.\n14.88 EXCLUSION OF LIABILITY\nWithout prejudice to the foregoing, the Bank shall be under no liability whatsoever to the applicant in respect of any loss or \ndamage arising, directly or directly out of:\n14.89 Any defect in goods or services supplied\n14.90 The refusal of any person to honour or accept a Card', 'Borrower and the Bank shall be entitled to pursue the same in any other court of competent jurisdiction at \nany other place; and provided further that if any dispute is below the pecuniary jurisdiction limit of the Debts \nRecovery Tribunals established under the Recovery of Debts Due to Banks and Financial Institutions Act, \n1993, then such dispute shall be referred to arbitration in accordance with the provisions of the Arbitration and']","['hdfc_customer_compensation_policy.pdf', 'hdfc_general_terms_conditions.pdf', 'hdfc_personal_loan_agreement.pdf']",0.8,
